id,gid,x,y,v_x,v_y,radius,time
0,0,-8.948000,-1.009652,1.040000,-0.193045,0.750000,0.050000
1,0,-8.948000,1.009652,1.040000,0.193045,0.750000,0.050000
2,1,-0.052000,0.000000,-1.040000,0.000000,0.750000,0.050000
0,0,-8.885600,-1.019138,1.248000,-0.189706,0.750000,0.100000
1,0,-8.885600,1.019138,1.248000,0.189706,0.750000,0.100000
2,1,-0.114400,0.000000,-1.248000,0.000000,0.750000,0.100000
0,0,-8.821120,-1.026961,1.289599,-0.156468,0.750000,0.150000
1,0,-8.821120,1.026961,1.289599,0.156468,0.750000,0.150000
2,1,-0.178880,0.000000,-1.289600,0.000000,0.750000,0.150000
0,0,-8.756224,-1.033366,1.297919,-0.128106,0.750000,0.200000
1,0,-8.756224,1.033366,1.297919,0.128106,0.750000,0.200000
2,1,-0.243776,0.000000,-1.297920,0.000000,0.750000,0.200000
0,0,-8.691245,-1.038741,1.299582,-0.107495,0.750000,0.250000
1,0,-8.691245,1.038741,1.299582,0.107495,0.750000,0.250000
2,1,-0.308755,0.000000,-1.299584,0.000000,0.750000,0.250000
0,0,-8.626249,-1.043367,1.299914,-0.092510,0.750000,0.300000
1,0,-8.626249,1.043367,1.299914,0.092510,0.750000,0.300000
2,1,-0.373751,0.000000,-1.299917,0.000000,0.750000,0.300000
0,0,-8.561250,-1.047428,1.299980,-0.081228,0.750000,0.350000
1,0,-8.561250,1.047428,1.299980,0.081228,0.750000,0.350000
2,1,-0.438750,0.000000,-1.299983,0.000000,0.750000,0.350000
0,0,-8.496251,-1.051049,1.299992,-0.072419,0.750000,0.400000
1,0,-8.496251,1.051049,1.299992,0.072419,0.750000,0.400000
2,1,-0.503750,0.000000,-1.299997,0.000000,0.750000,0.400000
0,0,-8.431251,-1.054315,1.299994,-0.065326,0.750000,0.450000
1,0,-8.431251,1.054315,1.299994,0.065326,0.750000,0.450000
2,1,-0.568750,0.000000,-1.299999,0.000000,0.750000,0.450000
0,0,-8.366251,-1.057289,1.299994,-0.059477,0.750000,0.500000
1,0,-8.366251,1.057289,1.299994,0.059477,0.750000,0.500000
2,1,-0.633750,0.000000,-1.300000,0.000000,0.750000,0.500000
0,0,-8.301252,-1.060017,1.299993,-0.054559,0.750000,0.550000
1,0,-8.301252,1.060017,1.299993,0.054559,0.750000,0.550000
2,1,-0.698750,0.000000,-1.300000,0.000000,0.750000,0.550000
0,0,-8.236252,-1.062535,1.299992,-0.050360,0.750000,0.600000
1,0,-8.236252,1.062535,1.299992,0.050360,0.750000,0.600000
2,1,-0.763750,0.000000,-1.300000,0.000000,0.750000,0.600000
0,0,-8.171252,-1.064871,1.299992,-0.046728,0.750000,0.650000
1,0,-8.171252,1.064871,1.299992,0.046728,0.750000,0.650000
2,1,-0.828750,0.000000,-1.300000,0.000000,0.750000,0.650000
0,0,-8.106253,-1.067049,1.299991,-0.043552,0.750000,0.700000
1,0,-8.106253,1.067049,1.299991,0.043552,0.750000,0.700000
2,1,-0.893750,0.000000,-1.300000,0.000000,0.750000,0.700000
0,0,-8.041253,-1.069086,1.299990,-0.040749,0.750000,0.750000
1,0,-8.041253,1.069086,1.299990,0.040749,0.750000,0.750000
2,1,-0.958750,0.000000,-1.300000,0.000000,0.750000,0.750000
0,0,-7.976254,-1.070999,1.299989,-0.038255,0.750000,0.800000
1,0,-7.976254,1.070999,1.299989,0.038255,0.750000,0.800000
2,1,-1.023750,0.000000,-1.300000,0.000000,0.750000,0.800000
0,0,-7.911255,-1.072800,1.299989,-0.036020,0.750000,0.850000
1,0,-7.911255,1.072800,1.299989,0.036020,0.750000,0.850000
2,1,-1.088750,0.000000,-1.300000,0.000000,0.750000,0.850000
0,0,-7.846255,-1.074500,1.299988,-0.034005,0.750000,0.900000
1,0,-7.846255,1.074500,1.299988,0.034005,0.750000,0.900000
2,1,-1.153750,0.000000,-1.300000,0.000000,0.750000,0.900000
0,0,-7.781256,-1.076109,1.299987,-0.032178,0.750000,0.950000
1,0,-7.781256,1.076109,1.299987,0.032178,0.750000,0.950000
2,1,-1.218750,0.000000,-1.300000,0.000000,0.750000,0.950000
0,0,-7.716256,-1.077635,1.299987,-0.030514,0.750000,1.000000
1,0,-7.716256,1.077635,1.299987,0.030514,0.750000,1.000000
2,1,-1.283750,0.000000,-1.300000,0.000000,0.750000,1.000000
0,0,-7.651257,-1.079085,1.299986,-0.028990,0.750000,1.050000
1,0,-7.651257,1.079085,1.299986,0.028990,0.750000,1.050000
2,1,-1.348750,0.000000,-1.300000,0.000000,0.750000,1.050000
0,0,-7.586258,-1.080464,1.299985,-0.027589,0.750000,1.100000
1,0,-7.586258,1.080464,1.299985,0.027589,0.750000,1.100000
2,1,-1.413750,0.000000,-1.300000,0.000000,0.750000,1.100000
0,0,-7.521259,-1.081779,1.299985,-0.026297,0.750000,1.150000
1,0,-7.521259,1.081779,1.299985,0.026297,0.750000,1.150000
2,1,-1.478750,0.000000,-1.300000,0.000000,0.750000,1.150000
0,0,-7.456259,-1.083034,1.299984,-0.025101,0.750000,1.200000
1,0,-7.456259,1.083034,1.299984,0.025101,0.750000,1.200000
2,1,-1.543750,0.000000,-1.300000,0.000000,0.750000,1.200000
0,0,-7.391260,-1.084233,1.299984,-0.023990,0.750000,1.250000
1,0,-7.391260,1.084233,1.299984,0.023990,0.750000,1.250000
2,1,-1.608750,0.000000,-1.300000,0.000000,0.750000,1.250000
0,0,-7.326261,-1.085381,1.299983,-0.022956,0.750000,1.300000
