id,gid,x,y,v_x,v_y,radius,time
0,0,7.947492,0.000017,-1.050152,0.000340,0.500000,0.050000
1,1,5.624036,5.624035,-0.656281,-0.656290,0.500000,0.050000
2,2,0.000015,7.945423,0.000302,-1.091544,0.500000,0.050000
3,3,-5.619425,5.619434,0.748501,-0.748325,0.500000,0.050000
4,4,-7.952751,0.000010,0.944984,0.000224,0.500000,0.050000
5,5,-5.618691,-5.618727,0.763170,0.762664,0.500000,0.050000
6,6,0.000000,-7.944670,0.000000,1.106608,0.500000,0.050000
7,7,5.623372,-5.623332,-0.669767,0.670364,0.500000,0.050000
0,0,7.884483,0.000037,-1.260182,0.000408,0.500000,0.100000
1,1,5.584659,5.584658,-0.787537,-0.787548,0.500000,0.100000
2,2,0.000033,7.879930,0.000362,-1.309853,0.500000,0.100000
3,3,-5.574515,5.574534,0.898202,-0.897990,0.500000,0.100000
4,4,-7.896052,0.000024,1.133981,0.000268,0.500000,0.100000
5,5,-5.572901,-5.572967,0.915804,0.915197,0.500000,0.100000
6,6,0.000000,-7.878273,0.000000,1.327930,0.500000,0.100000
7,7,5.583186,-5.583110,-0.803721,0.804437,0.500000,0.100000
0,0,7.819374,0.000058,-1.302188,0.000421,0.500000,0.150000
1,1,5.543970,5.543968,-0.813788,-0.813800,0.500000,0.150000
2,2,0.000052,7.812254,0.000374,-1.353515,0.500000,0.150000
3,3,-5.528108,5.528138,0.928142,-0.927923,0.500000,0.150000
4,4,-7.837463,0.000038,1.171780,0.000277,0.500000,0.150000
5,5,-5.525585,-5.525682,0.946331,0.945704,0.500000,0.150000
6,6,0.000000,-7.809663,0.000000,1.372194,0.500000,0.150000
7,7,5.541660,-5.541547,-0.830511,0.831251,0.500000,0.150000
0,0,7.753844,0.000080,-1.310590,0.000424,0.500000,0.200000
1,1,5.503018,5.503016,-0.819039,-0.819050,0.500000,0.200000
2,2,0.000070,7.744142,0.000376,-1.362247,0.500000,0.200000
3,3,-5.481401,5.481443,0.934130,-0.933909,0.500000,0.200000
4,4,-7.778496,0.000052,1.179340,0.000279,0.500000,0.200000
5,5,-5.477963,-5.478092,0.952437,0.951805,0.500000,0.200000
6,6,0.000000,-7.740611,0.000000,1.381047,0.500000,0.200000
