id,gid,x,y,v_x,v_y,radius,time
0,0,7.942437,0.007130,-0.575635,0.071301,0.500000,0.100000
1,1,5.604340,5.604326,-0.525102,-0.525236,0.500000,0.100000
2,2,0.009285,7.931368,0.092854,-0.686317,0.500000,0.100000
3,3,-5.575582,5.576214,0.812683,-0.806363,0.500000,0.100000
4,4,-7.891688,-0.007905,1.083123,-0.079047,0.500000,0.100000
5,5,-5.599484,-5.589671,0.573662,0.671886,0.500000,0.100000
6,6,-0.000508,-7.973320,-0.005082,0.266800,0.500000,0.100000
7,7,5.578598,-5.585221,-0.782616,0.716294,0.500000,0.100000
0,0,7.812233,0.021376,-1.302037,0.142461,0.500000,0.200000
1,1,5.508712,5.535160,-0.956276,-0.691664,0.500000,0.200000
2,2,0.013014,7.874011,0.037290,-0.573568,0.500000,0.200000
3,3,-5.462705,5.501434,1.128764,-0.747797,0.500000,0.200000
4,4,-7.772236,-0.004959,1.194522,0.029467,0.500000,0.200000
5,5,-5.506481,-5.526463,0.930028,0.632086,0.500000,0.200000
6,6,0.001155,-7.941557,0.016630,0.317634,0.500000,0.200000
7,7,5.498403,-5.507046,-0.801958,0.781744,0.500000,0.200000
0,0,7.691210,0.028578,-1.210232,0.072019,0.500000,0.300000
1,1,5.422026,5.470657,-0.866860,-0.645031,0.500000,0.300000
2,2,0.014794,7.816227,0.017800,-0.577849,0.500000,0.300000
3,3,-5.355752,5.411734,1.069537,-0.897004,0.500000,0.300000
4,4,-7.650489,0.017443,1.217468,0.224015,0.500000,0.300000
5,5,-5.379615,-5.436957,1.268661,0.895057,0.500000,0.300000
6,6,0.007283,-7.869814,0.061283,0.717423,0.500000,0.300000
7,7,5.412119,-5.442300,-0.862839,0.647460,0.500000,0.300000
0,0,7.555073,0.034199,-1.361369,0.056213,0.500000,0.400000
1,1,5.336052,5.411662,-0.859739,-0.589953,0.500000,0.400000
2,2,-0.000594,7.757609,-0.153880,-0.586174,0.500000,0.400000
3,3,-5.263364,5.313104,0.923872,-0.986296,0.500000,0.400000
4,4,-7.558581,0.042461,0.919078,0.250181,0.500000,0.400000
5,5,-5.247421,-5.340471,1.321936,0.964864,0.500000,0.400000
6,6,0.010154,-7.782949,0.028706,0.868657,0.500000,0.400000
7,7,5.346556,-5.368768,-0.655631,0.735324,0.500000,0.400000
0,0,7.410143,0.042194,-1.449297,0.079946,0.500000,0.500000
1,1,5.254530,5.336810,-0.815222,-0.748518,0.500000,0.500000
2,2,-0.032227,7.699799,-0.316333,-0.578105,0.500000,0.500000
3,3,-5.182759,5.170176,0.806051,-1.429280,0.500000,0.500000
4,4,-7.449797,0.073754,1.087844,0.312935,0.500000,0.500000
5,5,-5.117719,-5.240744,1.297023,0.997263,0.500000,0.500000
6,6,-0.002796,-7.703703,-0.129495,0.792455,0.500000,0.500000
7,7,5.289359,-5.329366,-0.571966,0.394016,0.500000,0.500000
0,0,7.268571,0.064325,-1.415716,0.221310,0.500000,0.600000
1,1,5.196267,5.262492,-0.582629,-0.743181,0.500000,0.600000
2,2,-0.040236,7.602227,-0.080088,-0.975718,0.500000,0.600000
3,3,-5.087438,5.044393,0.953212,-1.257828,0.500000,0.600000
4,4,-7.336255,0.077440,1.135412,0.036852,0.500000,0.600000
5,5,-4.987689,-5.097131,1.300301,1.436131,0.500000,0.600000
6,6,-0.014443,-7.591003,-0.116470,1.126997,0.500000,0.600000
7,7,5.222322,-5.293183,-0.670370,0.361827,0.500000,0.600000
0,0,7.135340,0.073983,-1.332314,0.096586,0.500000,0.700000
1,1,5.143654,5.167415,-0.526135,-0.950769,0.500000,0.700000
2,2,-0.048726,7.495935,-0.084898,-1.062916,0.500000,0.700000
3,3,-4.981269,4.934280,1.061688,-1.101126,0.500000,0.700000
4,4,-7.236551,0.045894,0.997045,-0.315457,0.500000,0.700000
5,5,-4.852691,-4.982098,1.349979,1.150333,0.500000,0.700000
6,6,-0.006983,-7.446699,0.074595,1.443042,0.500000,0.700000
7,7,5.129948,-5.244666,-0.923743,0.485175,0.500000,0.700000
0,0,7.009240,0.076327,-1.261002,0.023439,0.500000,0.800000
1,1,5.076006,5.083482,-0.676475,-0.839332,0.500000,0.800000
2,2,-0.058712,7.369915,-0.099863,-1.260207,0.500000,0.800000
3,3,-4.875722,4.821101,1.055477,-1.131790,0.500000,0.800000
4,4,-7.135556,0.031607,1.009947,-0.142869,0.500000,0.800000
5,5,-4.723578,-4.849507,1.291128,1.325906,0.500000,0.800000
6,6,-0.043685,-7.329747,-0.367013,1.169526,0.500000,0.800000
7,7,5.046849,-5.180763,-0.830987,0.639031,0.500000,0.800000
0,0,6.890148,0.077867,-1.190918,0.015396,0.500000,0.900000
1,1,4.998351,5.000522,-0.776557,-0.829600,0.500000,0.900000
2,2,-0.048068,7.265038,0.106445,-1.048763,0.500000,0.900000
3,3,-4.776555,4.719313,0.991670,-1.017880,0.500000,0.900000
4,4,-7.027598,0.021764,1.079579,-0.098434,0.500000,0.900000
5,5,-4.599350,-4.718256,1.242285,1.312513,0.500000,0.900000
6,6,-0.073537,-7.171728,-0.298527,1.580189,0.500000,0.900000
7,7,4.954438,-5.125300,-0.924110,0.554632,0.500000,0.900000
0,0,6.747232,0.088914,-1.429156,0.110468,0.500000,1.000000
1,1,4.922237,4.920036,-0.761134,-0.804857,0.500000,1.000000
2,2,-0.031444,7.189025,0.166233,-0.760129,0.500000,1.000000
3,3,-4.686573,4.639922,0.899821,-0.793912,0.500000,1.000000
4,4,-6.942928,0.019789,0.846707,-0.019750,0.500000,1.000000
5,5,-4.509373,-4.603968,0.899768,1.142880,0.500000,1.000000
6,6,-0.091593,-7.030535,-0.180555,1.411927,0.500000,1.000000
7,7,4.895539,-5.035702,-0.588987,0.895981,0.500000,1.000000
0,0,6.588846,0.135166,-1.583864,0.462524,0.500000,1.100000
1,1,4.824201,4.833718,-0.980364,-0.863184,0.500000,1.100000
2,2,-0.029145,7.122016,0.022993,-0.670088,0.500000,1.100000
3,3,-4.584764,4.551973,1.018086,-0.879490,0.500000,1.100000
4,4,-6.848364,0.003965,0.945635,-0.158238,0.500000,1.100000
5,5,-4.385569,-4.463573,1.238037,1.403956,0.500000,1.100000
6,6,-0.089512,-6.884411,0.020803,1.461242,0.500000,1.100000
7,7,4.836302,-4.943600,-0.592377,0.921013,0.500000,1.100000
0,0,6.423647,0.144056,-1.651992,0.088895,0.500000,1.200000
1,1,4.745195,4.771430,-0.790053,-0.622875,0.500000,1.200000
2,2,-0.014945,7.051026,0.141996,-0.709907,0.500000,1.200000
3,3,-4.501839,4.449348,0.829251,-1.026248,0.500000,1.200000
4,4,-6.738304,-0.005974,1.100606,-0.099390,0.500000,1.200000
5,5,-4.281239,-4.347969,1.043299,1.156036,0.500000,1.200000
6,6,-0.077085,-6.729041,0.124270,1.553703,0.500000,1.200000
7,7,4.797442,-4.843322,-0.388598,1.002783,0.500000,1.200000
0,0,6.250183,0.153990,-1.734642,0.099347,0.500000,1.300000
1,1,4.641500,4.724331,-1.036958,-0.470986,0.500000,1.300000
2,2,-0.037025,6.936233,-0.220796,-1.147931,0.500000,1.300000
3,3,-4.440707,4.367427,0.611319,-0.819212,0.500000,1.300000
4,4,-6.635114,-0.005610,1.031890,0.003643,0.500000,1.300000
5,5,-4.173181,-4.235637,1.080578,1.123319,0.500000,1.300000
6,6,-0.073937,-6.561291,0.031480,1.677494,0.500000,1.300000
7,7,4.751157,-4.759593,-0.462852,0.837285,0.500000,1.300000
0,0,6.066610,0.164755,-1.835727,0.107650,0.500000,1.400000
1,1,4.578153,4.655643,-0.633467,-0.686889,0.500000,1.400000
2,2,-0.067680,6.815594,-0.306548,-1.206383,0.500000,1.400000
3,3,-4.381959,4.269275,0.587479,-0.981527,0.500000,1.400000
4,4,-6.501013,-0.012057,1.341013,-0.064470,0.500000,1.400000
5,5,-4.073289,-4.127632,0.998927,1.080056,0.500000,1.400000
6,6,-0.069253,-6.406638,0.046847,1.546528,0.500000,1.400000
7,7,4.712236,-4.675754,-0.389210,0.838398,0.500000,1.400000
0,0,5.872947,0.178993,-1.936634,0.142380,0.500000,1.500000
1,1,4.495669,4.578552,-0.824840,-0.770904,0.500000,1.500000
2,2,-0.088743,6.672572,-0.210628,-1.430228,0.500000,1.500000
3,3,-4.292356,4.177212,0.896028,-0.920627,0.500000,1.500000
4,4,-6.379809,-0.029891,1.212037,-0.178339,0.500000,1.500000
5,5,-3.947013,-4.010337,1.262757,1.172944,0.500000,1.500000
6,6,-0.040717,-6.243375,0.285356,1.632633,0.500000,1.500000
7,7,4.678378,-4.606212,-0.338575,0.695414,0.500000,1.500000
0,0,5.699447,0.214339,-1.734993,0.353460,0.500000,1.600000
1,1,4.398906,4.510937,-0.967627,-0.676147,0.500000,1.600000
2,2,-0.099856,6.530648,-0.111131,-1.419238,0.500000,1.600000
3,3,-4.189339,4.094850,1.030173,-0.823613,0.500000,1.600000
4,4,-6.259066,-0.036964,1.207434,-0.070730,0.500000,1.600000
5,5,-3.836951,-3.922152,1.100614,0.881856,0.500000,1.600000
6,6,-0.021171,-6.110309,0.195462,1.330658,0.500000,1.600000
7,7,4.616119,-4.527517,-0.622592,0.786953,0.500000,1.600000
0,0,5.572848,0.222915,-1.265997,0.085757,0.500000,1.700000
1,1,4.275532,4.479538,-1.233743,-0.313994,0.500000,1.700000
2,2,-0.089683,6.442583,0.101724,-0.880647,0.500000,1.700000
3,3,-4.097706,3.991684,0.916334,-1.031667,0.500000,1.700000
4,4,-6.176499,-0.034005,0.825674,0.029587,0.500000,1.700000
5,5,-3.699749,-3.808813,1.372029,1.133381,0.500000,1.700000
6,6,0.015061,-5.944628,0.362322,1.656815,0.500000,1.700000
